"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",2010-01-04,7.6225,7.660714,7.585,7.643214,493729600,6.50528
"AAPL",2010-01-05,7.664286,7.699643,7.616071,7.656429,601904800,6.516527
"AAPL",2010-01-06,7.656429,7.686786,7.526786,7.534643,552160000,6.412874
"AAPL",2010-01-07,7.5625,7.571429,7.466071,7.520714,477131200,6.401017
"AAPL",2010-01-08,7.510714,7.571429,7.466429,7.570714,447610800,6.443574
"AAPL",2010-01-11,7.6,7.607143,7.444643,7.503929,462229600,6.38673
"AAPL",2010-01-12,7.471071,7.491786,7.372143,7.418571,594459600,6.314083
"AAPL",2010-01-13,7.423929,7.533214,7.289286,7.523214,605892000,6.403144
"AAPL",2010-01-14,7.503929,7.516429,7.465,7.479643,432894000,6.366062
"AAPL",2010-01-15,7.533214,7.557143,7.3525,7.354643,594067600,6.259671
"AAPL",2010-01-19,7.440357,7.685357,7.401429,7.68,730007600,6.536588
"AAPL",2010-01-20,7.675357,7.698214,7.482143,7.561786,612152800,6.435977
"AAPL",2010-01-21,7.574286,7.618214,7.400357,7.431071,608154400,6.324721
"AAPL",2010-01-22,7.385,7.410714,7.041429,7.0625,881767600,6.011022
"AAPL",2010-01-25,7.2325,7.310714,7.149643,7.2525,1065699600,6.172736
"AAPL",2010-01-26,7.355357,7.6325,7.235,7.355,1867110000,6.259974
"AAPL",2010-01-27,7.3875,7.520714,7.126071,7.424286,1722568400,6.318944
"AAPL",2010-01-28,7.318929,7.339286,7.096429,7.1175,1173502400,6.057834
"AAPL",2010-01-29,7.181429,7.221429,6.794643,6.859286,1245952400,5.838063
"AAPL",2010-02-01,6.870357,7,6.832143,6.954643,749876400,5.919224
"AAPL",2010-02-02,6.996786,7.011429,6.906429,6.995,698342400,5.953573
"AAPL",2010-02-03,6.970357,7.15,6.943571,7.115357,615328000,6.056012
"AAPL",2010-02-04,7.026071,7.084643,6.841786,6.858929,757652000,5.837762
"AAPL",2010-02-05,6.879643,7,6.816071,6.980714,850306800,5.941413
"AAPL",2010-02-08,6.988929,7.067143,6.928571,6.932857,478270800,5.900682
"AAPL",2010-02-09,7.015,7.053571,6.955357,7.006786,632886800,5.963603
"AAPL",2010-02-10,6.996071,7.021429,6.937857,6.968571,370361600,5.931077
"AAPL",2010-02-11,6.96,7.133929,6.930714,7.095357,550345600,6.038989
"AAPL",2010-02-12,7.075357,7.201429,6.982143,7.156429,655468800,6.090969
"AAPL",2010-02-16,7.212143,7.274643,7.197143,7.264286,543737600,6.182767
"AAPL",2010-02-17,7.2925,7.296786,7.173571,7.233929,436396800,6.15693
"AAPL",2010-02-18,7.201071,7.281786,7.175714,7.2475,422825200,6.168479
"AAPL",2010-02-19,7.209286,7.257143,7.1825,7.2025,415469600,6.13018
"AAPL",2010-02-22,7.226429,7.232143,7.113929,7.157857,390563600,6.092184
"AAPL",2010-02-23,7.142857,7.190357,6.989643,7.037857,575094800,5.990049
"AAPL",2010-02-24,7.079643,7.194286,7.065714,7.166429,460566400,6.09948
"AAPL",2010-02-25,7.049286,7.245,7.031786,7.214286,665126000,6.140212
"AAPL",2010-02-26,7.227857,7.3275,7.214286,7.307857,507460800,6.219851
"AAPL",2010-03-01,7.348214,7.482143,7.3375,7.463929,550093600,6.352689
"AAPL",2010-03-02,7.4975,7.529643,7.419286,7.458929,566546400,6.348433
"AAPL",2010-03-03,7.462143,7.495357,7.426429,7.476071,372052800,6.36302
"AAPL",2010-03-04,7.474286,7.532857,7.451071,7.525357,366041200,6.404969
"AAPL",2010-03-05,7.676429,7.846429,7.665357,7.819643,899620400,6.655442
"AAPL",2010-03-08,7.8575,7.860357,7.794643,7.824286,429889600,6.659392
"AAPL",2010-03-09,7.796786,8.035714,7.781786,7.965,920259200,6.779158
"AAPL",2010-03-10,7.993929,8.052857,7.971429,8.03,596218000,6.834481
"AAPL",2010-03-11,7.996786,8.053571,7.975714,8.053571,405700400,6.854541
"AAPL",2010-03-12,8.120357,8.133214,8.0625,8.092857,416323600,6.88798
"AAPL",2010-03-15,8.049286,8.053571,7.866071,7.994286,493502800,6.804084
"AAPL",2010-03-16,8.006429,8.035,7.946786,8.016071,446908000,6.822625
"AAPL",2010-03-17,8.032143,8.0875,7.973929,8.004286,450956800,6.812595
"AAPL",2010-03-18,8.003571,8.035714,7.950357,8.023214,342109600,6.828705
"AAPL",2010-03-19,8.028214,8.044286,7.901071,7.9375,559445600,6.755751
"AAPL",2010-03-22,7.873929,8.071429,7.8625,8.026786,456419600,6.831744
"AAPL",2010-03-23,8.058571,8.170714,8.003571,8.155714,602431200,6.941478
"AAPL",2010-03-24,8.13,8.221429,8.125357,8.191786,597780400,6.972177
"AAPL",2010-03-25,8.247143,8.248929,8.080357,8.094643,542284400,6.8895
"AAPL",2010-03-26,8.176786,8.283929,8.1625,8.246429,640875200,7.018689
"AAPL",2010-03-29,8.321429,8.3525,8.272143,8.299643,540744400,7.063978
"AAPL",2010-03-30,8.45,8.481429,8.366071,8.423214,527310000,7.169152
"AAPL",2010-03-31,8.410357,8.450357,8.373571,8.392857,430659600,7.143314
"AAPL",2010-04-01,8.478929,8.526071,8.3125,8.4275,603145200,7.1728
"AAPL",2010-04-05,8.392143,8.518214,8.384643,8.5175,684507600,7.249401
"AAPL",2010-04-06,8.507143,8.58,8.464286,8.555,447017200,7.281316
"AAPL",2010-04-07,8.555357,8.64,8.523571,8.592857,628502000,7.313538
"AAPL",2010-04-08,8.587143,8.626429,8.501429,8.569643,572989200,7.293782
"AAPL",2010-04-09,8.6225,8.638929,8.587857,8.635357,334182800,7.349708
"AAPL",2010-04-12,8.65,8.681071,8.636071,8.653214,333026400,7.36491
"AAPL",2010-04-13,8.637857,8.671429,8.611071,8.658214,306210800,7.369165
"AAPL",2010-04-14,8.76,8.778929,8.716786,8.774643,404076400,7.46826
"AAPL",2010-04-15,8.777857,8.893929,8.768214,8.89,376784800,7.566443
"AAPL",2010-04-16,8.8775,8.969286,8.733929,8.835714,750545600,7.52024
"AAPL",2010-04-19,8.8225,8.853214,8.634643,8.823929,566924400,7.510209
"AAPL",2010-04-20,8.876429,8.901786,8.677143,8.735357,738326400,7.434822
"AAPL",2010-04-21,9.242857,9.294643,9.133214,9.257857,982391200,7.879531
"AAPL",2010-04-22,9.222857,9.526786,9.15,9.516786,793424800,8.099911
"AAPL",2010-04-23,9.571071,9.720714,9.535714,9.6725,796955600,8.232445
"AAPL",2010-04-26,9.71,9.730714,9.578214,9.625,479068800,8.192015
"AAPL",2010-04-27,9.545357,9.565714,9.304286,9.358571,709343600,7.965254
"AAPL",2010-04-28,9.401786,9.428571,9.1575,9.342857,758402400,7.951876
"AAPL",2010-04-29,9.393571,9.642857,9.3575,9.594286,558840800,8.165872
"AAPL",2010-04-30,9.618214,9.663214,9.321429,9.324643,542463600,7.936375
"AAPL",2010-05-03,9.422857,9.567143,9.388571,9.5125,454342000,8.096264
"AAPL",2010-05-04,9.388929,9.403214,9.169643,9.238571,723819600,7.86312
"AAPL",2010-05-05,9.036786,9.219286,8.883214,9.1425,883103200,7.781349
"AAPL",2010-05-06,9.065357,9.223214,7.116071,8.794643,1285860800,7.485284
"AAPL",2010-05-07,8.703929,8.806071,8.043214,8.423571,1676018400,7.169455
"AAPL",2010-05-10,8.9375,9.094643,8.876071,9.071071,984306400,7.720553
"AAPL",2010-05-11,8.994286,9.281786,8.946429,9.161429,848906800,7.79746
"AAPL",2010-05-12,9.258571,9.3975,9.239286,9.360357,654379600,7.96677
"AAPL",2010-05-13,9.400714,9.464286,9.157143,9.227143,599712400,7.853391
"AAPL",2010-05-14,9.112857,9.16,8.910714,9.065,759362800,7.715386
"AAPL",2010-05-17,9.096429,9.149286,8.846786,9.079286,762834800,7.727548
"AAPL",2010-05-18,9.177857,9.233929,8.937857,9.012857,782678400,7.67101
"AAPL",2010-05-19,8.910714,9.032857,8.744643,8.869286,1025726800,7.548811
"AAPL",2010-05-20,8.638571,8.708929,8.436071,8.491429,1282915200,7.227211
"AAPL",2010-05-21,8.315,8.732143,8.2625,8.654286,1223891200,7.365823
"AAPL",2010-05-24,8.831429,8.960714,8.795,8.812857,754238800,7.500785
"AAPL",2010-05-25,8.548214,8.812857,8.47,8.757857,1048006400,7.45397
"AAPL",2010-05-26,8.931429,9.004643,8.705357,8.718214,850654000,7.420231
"AAPL",2010-05-27,8.95,9.0675,8.896786,9.048214,666282400,7.701101
"AAPL",2010-05-28,9.263929,9.264286,9.048214,9.174286,815614800,7.808404
"AAPL",2010-06-01,9.274643,9.497857,9.248571,9.315357,876472800,7.928471
"AAPL",2010-06-02,9.447857,9.457143,9.2975,9.426786,688548000,8.023312
"AAPL",2010-06-03,9.470714,9.483929,9.300357,9.397143,650106800,7.99808
"AAPL",2010-06-04,9.221786,9.353571,9.093929,9.141429,758304400,7.780437
"AAPL",2010-06-07,9.224643,9.255357,8.948214,8.962143,886942000,7.627843
"AAPL",2010-06-08,9.044286,9.064286,8.773214,8.904643,1000770400,7.578906
"AAPL",2010-06-09,8.981071,8.996429,8.660357,8.685714,854630000,7.39257
"AAPL",2010-06-10,8.744286,8.963571,8.65,8.946786,776356000,7.614775
"AAPL",2010-06-11,8.865357,9.066429,8.834643,9.053929,545759200,7.705966
"AAPL",2010-06-14,9.141429,9.255357,9.071786,9.081429,602960400,7.729374
"AAPL",2010-06-15,9.13,9.280357,9.125,9.274643,585074000,7.893822
"AAPL",2010-06-16,9.325,9.5625,9.308214,9.544643,783678000,8.123619
"AAPL",2010-06-17,9.664286,9.746429,9.625,9.709643,872855200,8.264056
"AAPL",2010-06-18,9.723214,9.821429,9.693571,9.788214,784621600,8.33093
"AAPL",2010-06-21,9.9175,9.964643,9.5975,9.648929,776490400,8.212381
"AAPL",2010-06-22,9.72,9.856071,9.696429,9.780357,717262000,8.324244
"AAPL",2010-06-23,9.806429,9.809286,9.567857,9.6775,768457200,8.236699
"AAPL",2010-06-24,9.678571,9.757143,9.575,9.607143,714277200,8.176815
"AAPL",2010-06-25,9.645,9.6525,9.493214,9.525,549942400,8.106902
"AAPL",2010-06-28,9.533214,9.633929,9.447143,9.582143,584948000,8.15554
"AAPL",2010-06-29,9.432857,9.4425,9.082143,9.148929,1133344800,7.786822
"AAPL",2010-06-30,9.168214,9.213214,8.928929,8.983214,739452000,7.645778
"AAPL",2010-07-01,9.082143,9.1,8.686429,8.874286,1022896000,7.553068
"AAPL",2010-07-02,8.946071,8.961786,8.685714,8.819286,693842800,7.506254
"AAPL",2010-07-06,8.964286,9.028571,8.791429,8.879643,615235600,7.557627
"AAPL",2010-07-07,8.946071,9.241786,8.919643,9.238214,654556000,7.862811
"AAPL",2010-07-08,9.374286,9.389286,9.103214,9.2175,738144400,7.845182
"AAPL",2010-07-09,9.174643,9.282143,9.112857,9.272143,433322400,7.891693
"AAPL",2010-07-12,9.233214,9.351786,9.102143,9.188929,562878400,7.820867
"AAPL",2010-07-13,9.154286,9.157143,8.801071,8.992857,1190924000,7.653986
"AAPL",2010-07-14,8.906429,9.135714,8.892857,9.026071,812047600,7.682253
"AAPL",2010-07-15,8.865357,9.1775,8.832143,8.980357,824866000,7.643347
"AAPL",2010-07-16,9.042143,9.106071,8.871786,8.925,1039858400,7.59623
"AAPL",2010-07-19,8.924286,8.924286,8.557143,8.770714,1024478000,7.464915
"AAPL",2010-07-20,8.675,9.032143,8.571786,8.996071,1074950800,7.656721
"AAPL",2010-07-21,9.4675,9.469643,9.071429,9.08,1185671200,7.728155
"AAPL",2010-07-22,9.202857,9.285714,9.118214,9.250714,645318800,7.873453
"AAPL",2010-07-23,9.181786,9.299286,9.152857,9.283571,533388800,7.901418
"AAPL",2010-07-26,9.285714,9.289286,9.203929,9.26,420551600,7.881356
"AAPL",2010-07-27,9.316786,9.457143,9.296429,9.431429,584771600,8.027262
"AAPL",2010-07-28,9.416786,9.499643,9.294643,9.32,519985200,7.932424
"AAPL",2010-07-29,9.311071,9.380357,9.146429,9.218214,643806800,7.845792
"AAPL",2010-07-30,9.138929,9.275,9.103571,9.1875,448210000,7.81965
"AAPL",2010-08-02,9.301429,9.378214,9.272143,9.351786,428055600,7.959476
"AAPL",2010-08-03,9.321786,9.402143,9.265,9.354643,417653600,7.961911
"AAPL",2010-08-04,9.387143,9.438571,9.296786,9.392143,420375200,7.993823
